Segment,Cable Size,Start Address,End Address,Item # (A/B/C…),Span (ft),Length (raw),Storage (ft),SP Page,CAD Checkbox (QC),Notes
HSP.01.03.01 144,144,(no spans found),(no spans found),ANCHOR,0,–,50,–,–,"Row 15 anchor — SPAN always 0, STORAGE always 50"
HSP.01.05.01 144,144,4928 ALLANBROOKE LN,4928 ALLANBROOKE LN,ANCHOR,0,–,50,–,–,"Row 15 anchor — SPAN always 0, STORAGE always 50"
HSP.01.05.01 144,144,4928 ALLANBROOKE LN,4928 ALLANBROOKE LN,A,197,197,50,1,144,
HSP.01.05.01 144,144,4928 ALLANBROOKE LN,4928 ALLANBROOKE LN,B,225,225,50,1,144,
HSP.01.05.01 144,144,4928 ALLANBROOKE LN,4928 ALLANBROOKE LN,C,54,54,50,1,BLANK,
HSP.01.05.01 144,144,4928 ALLANBROOKE LN,4928 ALLANBROOKE LN,D,11,11,50,1,144,
HSP.01.05.02 96,96,5524 JOHNSON POND RD,5524 JOHNSON POND RD,ANCHOR,0,–,50,–,–,"Row 15 anchor — SPAN always 0, STORAGE always 50"
HSP.01.05.02 96,96,5524 JOHNSON POND RD,5524 JOHNSON POND RD,E,336,336,50,3,96,
HSP.01.05.03 48,48,4912 HILLTOP NEEDMORE RD,4912 HILLTOP NEEDMORE RD,ANCHOR,0,–,50,–,–,"Row 15 anchor — SPAN always 0, STORAGE always 50"
HSP.01.05.03 48,48,4912 HILLTOP NEEDMORE RD,4912 HILLTOP NEEDMORE RD,A,498,498,50,3,96,⚠️ CHECKBOX MISMATCH
HSP.01.05.03 48,48,4912 HILLTOP NEEDMORE RD,4912 HILLTOP NEEDMORE RD,B,125,125,50,3,96,⚠️ CHECKBOX MISMATCH
HSP.01.05.03 48,48,4912 HILLTOP NEEDMORE RD,4912 HILLTOP NEEDMORE RD,C,58,58,50,3,96,⚠️ CHECKBOX MISMATCH
HSP.01.05.03 48,48,4912 HILLTOP NEEDMORE RD,4912 HILLTOP NEEDMORE RD,D,306,306,50,3,48,
HSP.01.05.03 48,48,4912 HILLTOP NEEDMORE RD,4912 HILLTOP NEEDMORE RD,F,408,408,50,3,96,⚠️ CHECKBOX MISMATCH
HSP.01.05.03 48,48,4912 HILLTOP NEEDMORE RD,4912 HILLTOP NEEDMORE RD,L,102,102,50,5,48,
HSP.01.05.03 48,48,4912 HILLTOP NEEDMORE RD,4912 HILLTOP NEEDMORE RD,M,114,114,50,5,48,
HSP.01.05.04 48,48,4912 HILLTOP NEEDMORE RD,4912 HILLTOP NEEDMORE RD,ANCHOR,0,–,50,–,–,"Row 15 anchor — SPAN always 0, STORAGE always 50"
HSP.01.05.04 48,48,4912 HILLTOP NEEDMORE RD,4912 HILLTOP NEEDMORE RD,A,233,233,50,32,48,
HSP.01.05.04 48,48,4912 HILLTOP NEEDMORE RD,4912 HILLTOP NEEDMORE RD,B,42,42,50,32,BLANK,
HSP.01.05.04 48,48,4912 HILLTOP NEEDMORE RD,4912 HILLTOP NEEDMORE RD,C,76,76,50,32,48,
HSP.01.05.04 48,48,4912 HILLTOP NEEDMORE RD,4912 HILLTOP NEEDMORE RD,D,138,138,50,32,48,
HSP.01.05.04 48,48,4912 HILLTOP NEEDMORE RD,4912 HILLTOP NEEDMORE RD,E,44,44,50,32,BLANK,
HSP.01.05.04 48,48,4912 HILLTOP NEEDMORE RD,4912 HILLTOP NEEDMORE RD,F,139,139,50,32,BLANK,
HSP.01.05.04 48,48,4912 HILLTOP NEEDMORE RD,4912 HILLTOP NEEDMORE RD,G,42,42,50,32,BLANK,
HSP.01.05.04 48,48,4912 HILLTOP NEEDMORE RD,4912 HILLTOP NEEDMORE RD,H,152,152,50,32,48,
HSP.01.05.04 48,48,4912 HILLTOP NEEDMORE RD,4912 HILLTOP NEEDMORE RD,I,174,174,50,32,48,
HSP.01.05.04 48,48,4912 HILLTOP NEEDMORE RD,4912 HILLTOP NEEDMORE RD,J,180,180,50,32,48,
HSP.01.05.04 48,48,4912 HILLTOP NEEDMORE RD,4912 HILLTOP NEEDMORE RD,K,22,22,50,32,48,
HSP.01.05.04 48,48,4912 HILLTOP NEEDMORE RD,4912 HILLTOP NEEDMORE RD,L,69,69,50,32,BLANK,
HSP.01.05.04 48,48,4912 HILLTOP NEEDMORE RD,4912 HILLTOP NEEDMORE RD,M,137,137,50,32,48,
HSP.01.05.04 48,48,4912 HILLTOP NEEDMORE RD,4912 HILLTOP NEEDMORE RD,N,44,44,50,32,BLANK,
HSP.01.05.04 48,48,4912 HILLTOP NEEDMORE RD,4912 HILLTOP NEEDMORE RD,O,172,172,50,32,48,
HSP.01.05.04 48,48,4912 HILLTOP NEEDMORE RD,4912 HILLTOP NEEDMORE RD,P,83,83,50,32,BLANK,
HSP.01.05.04 48,48,4912 HILLTOP NEEDMORE RD,4912 HILLTOP NEEDMORE RD,Q,34,34,50,32,BLANK,
HSP.01.05.05 48,48,5524 JOHNSON POND RD,5529 JOHNSON POND RD,ANCHOR,0,–,50,–,–,"Row 15 anchor — SPAN always 0, STORAGE always 50"
HSP.01.05.05 48,48,5524 JOHNSON POND RD,5529 JOHNSON POND RD,A,107,107,50,11,96,⚠️ CHECKBOX MISMATCH
HSP.01.05.05 48,48,5524 JOHNSON POND RD,5529 JOHNSON POND RD,A,38,38,50,6,48,
HSP.01.05.05 48,48,5524 JOHNSON POND RD,5529 JOHNSON POND RD,A,173,173,50,5,48,
HSP.01.05.05 48,48,5524 JOHNSON POND RD,5529 JOHNSON POND RD,B,255,255,15,5,96,⚠️ CHECKBOX MISMATCH
HSP.01.05.05 48,48,5524 JOHNSON POND RD,5529 JOHNSON POND RD,B,41,41,50,6,BLANK,
HSP.01.05.05 48,48,5524 JOHNSON POND RD,5529 JOHNSON POND RD,B,49,49,50,11,BLANK,
HSP.01.05.05 48,48,5524 JOHNSON POND RD,5529 JOHNSON POND RD,C,165,165,50,11,96,⚠️ CHECKBOX MISMATCH
HSP.01.05.05 48,48,5524 JOHNSON POND RD,5529 JOHNSON POND RD,C,256,256,50,5,96,⚠️ CHECKBOX MISMATCH
HSP.01.05.05 48,48,5524 JOHNSON POND RD,5529 JOHNSON POND RD,C,169,169,50,6,48,
HSP.01.05.05 48,48,5524 JOHNSON POND RD,5529 JOHNSON POND RD,D,31,31,50,11,96,⚠️ CHECKBOX MISMATCH
HSP.01.05.05 48,48,5524 JOHNSON POND RD,5529 JOHNSON POND RD,D,301,301,50,5,96,⚠️ CHECKBOX MISMATCH
HSP.01.05.05 48,48,5524 JOHNSON POND RD,5529 JOHNSON POND RD,E,89,89,50,5,BLANK,
HSP.01.05.05 48,48,5524 JOHNSON POND RD,5529 JOHNSON POND RD,E,51,51,50,11,BLANK,
HSP.01.05.05 48,48,5524 JOHNSON POND RD,5529 JOHNSON POND RD,F,202,202,50,5,48,
HSP.01.05.05 48,48,5524 JOHNSON POND RD,5529 JOHNSON POND RD,G,103,103,50,5,48,
HSP.01.05.05 48,48,5524 JOHNSON POND RD,5529 JOHNSON POND RD,H,69,69,50,5,48,
HSP.01.05.05 48,48,5524 JOHNSON POND RD,5529 JOHNSON POND RD,I,134,134,50,5,BLANK,
HSP.01.05.05 48,48,5524 JOHNSON POND RD,5529 JOHNSON POND RD,J,96,96,50,5,BLANK,
HSP.01.05.05 48,48,5524 JOHNSON POND RD,5529 JOHNSON POND RD,K,139,139,50,5,48,
HSP.01.05.06 48,48,5529 JOHNSON POND RD,5529 JOHNSON POND RD,ANCHOR,0,–,50,–,–,"Row 15 anchor — SPAN always 0, STORAGE always 50"
HSP.01.05.06 48,48,5529 JOHNSON POND RD,5529 JOHNSON POND RD,AA,120,120,50,6,BLANK,
HSP.01.05.06 48,48,5529 JOHNSON POND RD,5529 JOHNSON POND RD,AB,99,99,50,6,BLANK,
HSP.01.05.06 48,48,5529 JOHNSON POND RD,5529 JOHNSON POND RD,AC,105,105,50,6,48,
HSP.01.05.06 48,48,5529 JOHNSON POND RD,5529 JOHNSON POND RD,AD,114,114,50,6,48,
HSP.01.05.06 48,48,5529 JOHNSON POND RD,5529 JOHNSON POND RD,D,26,26,50,6,48,
HSP.01.05.06 48,48,5529 JOHNSON POND RD,5529 JOHNSON POND RD,E,41,41,50,6,BLANK,
HSP.01.05.06 48,48,5529 JOHNSON POND RD,5529 JOHNSON POND RD,F,161,161,50,6,48,
HSP.01.05.06 48,48,5529 JOHNSON POND RD,5529 JOHNSON POND RD,G,22,22,50,6,48,
HSP.01.05.06 48,48,5529 JOHNSON POND RD,5529 JOHNSON POND RD,H,45,45,50,6,48,
HSP.01.05.06 48,48,5529 JOHNSON POND RD,5529 JOHNSON POND RD,I,211,211,50,6,48,
HSP.01.05.06 48,48,5529 JOHNSON POND RD,5529 JOHNSON POND RD,J,41,41,50,6,BLANK,
HSP.01.05.06 48,48,5529 JOHNSON POND RD,5529 JOHNSON POND RD,K,70,70,50,6,48,
